,SourceID,RA,Dec,file_loc
51,4000708700498,189.1223689,62.410971200000006,/media/team_workspaces/astronomaly-project/images/18k-sample/4000708700498.jpeg
52,AHZ20019oa,149.92056609999997,2.4880996,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ20019oa_300_300_3.jpeg
53,AGZ00080yp,189.3294842,62.3595244,/media/team_workspaces/astronomaly-project/images/18k-sample/AGZ00080yp.jpeg
54,4177573777,279.118856,-23.9009944,/media/team_workspaces/astronomaly-project/images/18k-sample/4177573777.jpeg
55,4000712886493,11.4554114,41.9952396,/media/team_workspaces/astronomaly-project/images/18k-sample/4000712886493.jpeg
56,4000712963186,11.4410978,42.0193819,/media/team_workspaces/astronomaly-project/images/18k-sample/4000712963186.jpeg
57,4000709692577,109.3576751,37.7761069,/media/team_workspaces/astronomaly-project/images/18k-sample/4000709692577.jpeg
58,AHZ2000xqw,150.3762793,2.4132003,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000xqw_300_300_3.jpeg
59,GDS_1341,53.209235,-27.910255,/media/team_workspaces/astronomaly-project/images/18k-sample/GDS_1341.jpeg
60,4024658,,,/media/team_workspaces/astronomaly-project/images/18k-sample/4024658.jpeg
61,4000710670855,11.4379597,42.1566679,/media/team_workspaces/astronomaly-project/images/18k-sample/4000710670855.jpeg
62,4000708699285,3.5620056000000004,-30.3908052,/media/team_workspaces/astronomaly-project/images/18k-sample/4000708699285.jpeg
63,AHZ2000uij,149.5950075,2.1322664000000002,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000uij.jpeg
64,4000712963244,11.487277699999998,42.01951629999999,/media/team_workspaces/astronomaly-project/images/18k-sample/4000712963244.jpeg
65,AHZ2001iq9,149.8372522,2.6471023,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001iq9.jpeg
66,4174980194,150.59667230000002,2.7542484,/media/team_workspaces/astronomaly-project/images/18k-sample/4174980194.jpeg
67,AHZ20010mk,150.0497461,2.3068566,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ20010mk_300_300_3.jpeg
68,1028705,,,/media/team_workspaces/astronomaly-project/images/18k-sample/1028705.jpeg
69,AHZ2000w49,150.7078987,2.2941682,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000w49.jpeg
70,4556350067,197.8722146,-1.3515246,/media/team_workspaces/astronomaly-project/images/18k-sample/4556350067.jpeg
71,AHZ2001t0n,150.4078902,2.4003966,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001t0n_300_300_3.jpeg
72,AHZ2000x1s,150.3960066,2.3775469,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000x1s_300_300_3.jpeg
73,4000714962319,11.1627721,41.66671470000001,/media/team_workspaces/astronomaly-project/images/18k-sample/4000714962319.jpeg
74,AHZ20010sf,149.9403284,2.3476319,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ20010sf_300_300_3.jpeg
75,4000709705956,142.1031526,36.778637100000005,/media/team_workspaces/astronomaly-project/images/18k-sample/4000709705956.jpeg
76,12321618,,,/media/team_workspaces/astronomaly-project/images/18k-sample/12321618.jpeg
77,AHZ200084d,149.4758159,1.6925111,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ200084d_300_300_3.jpeg
78,AHZ2001jap,149.5897199,2.792591,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001jap_300_300_3.jpeg
79,82703319,,,/media/team_workspaces/astronomaly-project/images/18k-sample/82703319.jpeg
80,COS_9592,150.18965,2.2938661,/media/team_workspaces/astronomaly-project/images/18k-sample/COS_9592.jpeg
81,AHZ20000o8,150.1162697,1.6057696,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ20000o8_300_300_3.jpeg
82,3930994,,,/media/team_workspaces/astronomaly-project/images/18k-sample/3930994.jpeg
83,AHZ2001sml,149.5956668,2.7225076,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001sml_300_300_3.jpeg
84,50839615,,,/media/team_workspaces/astronomaly-project/images/18k-sample/50839615.jpeg
85,4555429935,210.9151288,54.3221952,/media/team_workspaces/astronomaly-project/images/18k-sample/4555429935.jpeg
86,AGZ00080gs,189.2744872,62.360896999999994,/media/team_workspaces/astronomaly-project/images/18k-sample/AGZ00080gs.jpeg
87,AHZ40008mu,53.295345999999995,-27.734903600000003,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ40008mu_300_300_3.jpeg
88,4000710619749,11.4683929,42.1456188,/media/team_workspaces/astronomaly-project/images/18k-sample/4000710619749.jpeg
89,6000268374606,109.3431595,37.7457877,/media/team_workspaces/astronomaly-project/images/18k-sample/6000268374606.jpeg
90,587739609164087521,12:17:32.23,+32:31:59.2,/media/team_workspaces/astronomaly-project/images/18k-sample/587739609164087521.jpeg
91,AHZ2001tgd,150.05883889999998,2.3050711,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001tgd.jpeg
92,AHZ2000omb,150.4246115,2.212539,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000omb_300_300_3.jpeg
93,AHZ2000039,150.6694954,1.6105841,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000039_300_300_3.jpeg
94,4233113937,13.3215533,-73.4045163,/media/team_workspaces/astronomaly-project/images/18k-sample/4233113937.jpeg
95,UDS_4088,34.350891,-5.2553607000000016,/media/team_workspaces/astronomaly-project/images/18k-sample/UDS_4088.jpeg
96,AHZ2001qin,150.0908718,2.1991971,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001qin_300_300_3.jpeg
97,AHZ40002mk,52.9572083,-27.879833,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ40002mk_300_300_3.jpeg
98,AHZ20014ow,150.57484130000003,2.5162369,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ20014ow.jpeg
99,AHZ2000fh9,150.7541021,2.0766566,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000fh9_300_300_3.jpeg
100,97120447,,,/media/team_workspaces/astronomaly-project/images/18k-sample/97120447.jpeg
101,AHZ200176d,150.2968025,2.4839629,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ200176d_300_300_3.jpeg
102,4110453613,232.0052773,-50.6852516,/media/team_workspaces/astronomaly-project/images/18k-sample/4110453613.jpeg
103,AHZ2000b3t,150.2813654,1.8399583,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000b3t_300_300_3.jpeg
104,4608706331,287.9284287,-60.03202660000001,/media/team_workspaces/astronomaly-project/images/18k-sample/4608706331.jpeg
105,AHZ2000epo,149.6230036,1.8142195,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000epo_300_300_3.jpeg
106,AHZ2000sc7,149.9767549,2.1327507,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000sc7_300_300_3.jpeg
107,4000708700566,189.1352727,62.4142835,/media/team_workspaces/astronomaly-project/images/18k-sample/4000708700566.jpeg
108,97206948,,,/media/team_workspaces/astronomaly-project/images/18k-sample/97206948.jpeg
109,AHZ2001h14,150.0930651,2.6316868,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001h14_300_300_3.jpeg
110,4000708970553,195.0279028,27.9494402,/media/team_workspaces/astronomaly-project/images/18k-sample/4000708970553.jpeg
111,AHZ200163f,150.4762767,2.4732082,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ200163f.jpeg
112,4000712897728,11.472497099999998,41.9990766,/media/team_workspaces/astronomaly-project/images/18k-sample/4000712897728.jpeg
113,AHZ2001pyh,150.1438943,2.1014636,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001pyh_300_300_3.jpeg
114,4175034195,150.19601780000002,1.7658561999999998,/media/team_workspaces/astronomaly-project/images/18k-sample/4175034195.jpeg
115,34904190,,,/media/team_workspaces/astronomaly-project/images/18k-sample/34904190.jpeg
