,SourceID,reps_x,reps_y,file_loc
45,4000709691763,-1.7219983,7.757524,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000709691763.jpeg
46,4000710629559,10.243623,11.889042,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000710629559.jpeg
47,AHZ2000vqh,-1.242939,10.8157425,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000vqh.jpeg
48,AGZ00084nj,-4.1177573,11.897481,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AGZ00084nj.jpeg
49,AHZ2001ps6,-0.3414546,14.188109,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001ps6_300_300_3.jpeg
50,4000895306159,0.9693275,2.4710138,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000895306159.jpeg
51,4000708700498,-0.28064185,14.645434,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000708700498.jpeg
52,AHZ20019oa,-3.8544753,11.503153,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ20019oa_300_300_3.jpeg
53,AGZ00080yp,-2.4513304,5.398865,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AGZ00080yp.jpeg
54,4177573777,6.938574,12.022258,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4177573777.jpeg
55,4000712886493,10.39603,9.335191,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000712886493.jpeg
56,4000712963186,11.938766,10.008561,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000712963186.jpeg
57,4000709692577,-0.4403202,7.9003935,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000709692577.jpeg
58,AHZ2000xqw,0.23683855,10.595619,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000xqw_300_300_3.jpeg
59,GDS_1341,-3.860555,8.188116,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/GDS_1341.jpeg
60,4024658,4.0316086,6.8047905,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4024658.jpeg
61,4000710670855,12.163447,11.583569,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000710670855.jpeg
62,4000708699285,-0.7439026,5.4365973,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000708699285.jpeg
